created_at,created_at_seconds,full_text,id,lang,score,user
Mon Jun 04 10:07:14 +0000 2018,1528106834.0,MASAKI YODA -Carrying the future- on #Apple music https://t.co/VDleFwYuuL #music #listen #Japan #information,1003578919809835011,en,4.0,world_on_mars
Mon Jun 04 10:06:57 +0000 2018,1528106817.0,"RT @johnybeextreme: We’re @bloominthepark today with @bigbagjellies ⛺️ we have #tasty #treats available 🍬🍭🍬🍭🍬
.
.
.
.
.
#Bloom2018 #bloomin…",1003578847525310464,en,4.0,Big Bag Jellies
Mon Jun 04 10:06:51 +0000 2018,1528106811.0,WWDC 2018 Liveblog: News and Updates From Apple's Keynote https://t.co/5hp87KHsHo #wwdc2018 #Apple #Gear #WWDC,1003578820853563393,en,3.0,Gamer Geek
Mon Jun 04 10:06:36 +0000 2018,1528106796.0,"We’re @bloominthepark today with @bigbagjellies ⛺️ we have #tasty #treats available 🍬🍭🍬🍭🍬
.
.
.
.
.
#Bloom2018 #bloominthepark #sweets #novelty #johnybee #xtreme #jet #jetspray #tankspray #rabbitpop #bigdipperpowder #strawberry #blueraspberry #apple",1003578759247745024,en,4.0,Johny Bee Xtreme
Mon Jun 04 10:06:36 +0000 2018,1528106796.0,A #hacker claims to be selling access to #Apple internal tools. #infosec #privacy #hacking https://t.co/6In67vxOyI,1003578757599424514,en,1.0,AcidTechnologies
Mon Jun 04 10:06:04 +0000 2018,1528106764.0,"Come and see the snapshots of our semiconductor manufacturing sites shared by our talented employees
https://t.co/nIieAkgYhm of your choice #apple #icloud #iphone #cloudunlock",1003578623289384960,en,3.0,Mr Cloud Unlock
Mon Jun 04 10:06:02 +0000 2018,1528106762.0,"#Apple is expected to announce its new mobile operating system, iOS 12, at its Worldwide Developers Conference (WWDC) event today: https://t.co/RZWEBZtTQr viaThe Telegraph",1003578618105221121,en,3.0,Quattro Ltd
Mon Jun 04 10:05:28 +0000 2018,1528106728.0,"RT @NeowinFeed: Apple Music webplayer and API appear to be in the works, accessible now https://t.co/8YSKllLQT9 #apple #applemusic #music h…",1003578473313656832,en,3.0,Errol Jones
Mon Jun 04 10:05:27 +0000 2018,1528106727.0,"RT @nileshukey: #Apple’s #WWDC2018: Here’s what to expect https://t.co/HL88lFNAET
via: @TheNextWeb 

#iOS12 #iPhoneSE2 #AirPower #AirPods #…",1003578468104192000,en,3.0,Abhishek Thapliyal
Mon Jun 04 10:05:19 +0000 2018,1528106719.0,"#WWDC2018 #iOS12 #macOS14
Possible announcements at #Apple #WWDC18 are:
1: iOS12
2: macOS14
3: Mac mini
4: Mac Pro
5: MacBook Air
6: iMac &amp; MacBook Pro
7: iPhones 11, iPhone SE2
8: HomePod mini",1003578437762781186,en,3.0,Sunny Matthew
Mon Jun 04 10:05:17 +0000 2018,1528106717.0,"RT @bsindia: Another data breach! @Facebook allowed #Apple, #Samsung, 58 other device makers to access your personal data https://t.co/pS8L…",1003578427931353090,en,1.0,Rajagopal
Mon Jun 04 10:05:12 +0000 2018,1528106712.0,MASAKI YODA -Loveing your heart- on #Apple music https://t.co/UtDJ0y6M51 #music #listen #Japan #information,1003578405382569985,en,4.0,Label MARS PROJECT
Mon Jun 04 10:05:09 +0000 2018,1528106709.0,"#BackToSchool?

With more than 15,000 educational #apps on the #Apple store, the #iPad is versatile and powerful, changing the face of education.

Browse our collection here: https://t.co/oVEc4AZntE https://t.co/X3z2mEF4WG",1003578392795545600,en,5.0,Clove Technology
Mon Jun 04 10:04:59 +0000 2018,1528106699.0,#Apple’s AR bet still has a lot to prove https://t.co/NSl1IONXHf https://t.co/4vkp1h8F2G,1003578354413387777,en,2.0,Manan Patel
Mon Jun 04 10:04:54 +0000 2018,1528106694.0,MASAKI YODA -Carrying the future- on #Apple music https://t.co/4oNBVsvJNx #music #listen #Japan #information,1003578329939603456,en,4.0,Label MARS PROJECT
Mon Jun 04 10:04:53 +0000 2018,1528106693.0,"Live from Tuesday 5/06, 2am AEST! Fingers crossed for the old spongey #MacBook keyboard comeback along with a quad-core 13"" #MacBookPro and 32GB LPDDR4 RAM options. 🤞 👌👨‍💻  32GB RAM is tempting! #Chrome has poor garbage collection. #Apple #WWDC https://t.co/Uw8c753shB",1003578326894735366,en,5.0,Stefan Caliaro
Mon Jun 04 10:04:42 +0000 2018,1528106682.0,"@Samsung and @Apple will unveil their smartwatches dubbed as Samsung Gear S4 and #AppleWatch Series 4 this 2018. 

#Samsung #Apple #SamsungGearS4 #Wearables #wearable #applenews #samsungnews #tech #technology #TechNews #TechnologyNews #Technologies 
https://t.co/mQmqJ8P6Sv",1003578282317500419,en,3.0,73buzz
Mon Jun 04 10:03:31 +0000 2018,1528106611.0,"We are so damn close to WWDC 2018. Man, I am already feeling anxious for the announcements @Apple is going to make. 

#Apple #WWDC #WWDC2018",1003577982936494085,en,2.0,Gurman Singh
Mon Jun 04 10:03:21 +0000 2018,1528106601.0,My apple watch series 2 is coroding. I should have gone with the stainless steel version. Please share. #Poor #quality made by #Apple. @Apple  @AppleSupport https://t.co/k34MdpnouX,1003577943115878402,en,1.0,The Bearded Dude
Mon Jun 04 10:02:45 +0000 2018,1528106565.0,Honda Forza 125 Updated For 2018 In Europe https://t.co/VCRwWtGxqt #technology #apple #facebook #automobile https://t.co/3LXi4lOieT,1003577788627111938,en,3.0,SooraSaab
Mon Jun 04 10:02:40 +0000 2018,1528106560.0,2019 BMW Z4 Official Teaser Out https://t.co/7zNLtbDj9T #technology #apple #facebook #automobile https://t.co/1DgPqh1w75,1003577771594010625,en,3.0,SooraSaab
Mon Jun 04 10:02:40 +0000 2018,1528106560.0,"Apple Music Embeddable Web Player Widget Updated to Let Subscribers Sign in and Play Full Tracks, Albums, and Playlists: https://t.co/ECjK5d0yMa #mac #apple",1003577768083410946,en,3.0,Junk Topic
Mon Jun 04 10:02:38 +0000 2018,1528106558.0,"EESL To Supply Electric Vehicles To Telangana, Madhya Pradesh And Rajasthan https://t.co/SVDCvNSFoT #technology #apple #facebook #automobile https://t.co/OKXdp6XyTc",1003577759178854400,en,3.0,SooraSaab
Mon Jun 04 10:02:36 +0000 2018,1528106556.0,Royal Enfield 650 Twin Based Lock Stock Dragster Unveiled https://t.co/6YJTqmN48a #technology #apple #facebook #automobile https://t.co/vtnMeFBVpU,1003577753327857664,en,3.0,SooraSaab
Mon Jun 04 10:02:35 +0000 2018,1528106555.0,Amittrajit Ghosh And Ashwin Naik Become First Indian's To Win European Rally Championship In Debut Rally https://t.co/gFBxnnUHuP #technology #apple #facebook #automobile https://t.co/ewd5X0JFUj,1003577746629496833,en,3.0,SooraSaab
Mon Jun 04 10:02:34 +0000 2018,1528106554.0,"RT @Intelygenz: Today is the day!! Join us this evening to watch #Apple #WWDC18 conference together at @GoTechMadrid! Good company, lots of…",1003577744435924992,en,5.0,Indie GameDev Bot
Mon Jun 04 10:02:26 +0000 2018,1528106546.0,"Apple Music Embeddable Web Player Widget Updated to Let Subscribers Sign in and Play Full Tracks, Albums, and Playlists https://t.co/meURt5tqmA #Apple",1003577711237967872,en,3.0,Applesource
Mon Jun 04 10:02:20 +0000 2018,1528106540.0,"Here's what to expect from the Apple’s #WWDC18 Keynote that's happening at 10:30 PM (IST) today. #apple #india #WWDC 
Find out: https://t.co/xFmHwpcEAr",1003577683949711360,en,3.0,JioXpressNews
Mon Jun 04 10:02:17 +0000 2018,1528106537.0,"RT @FerrerMafehn: #Apple Watch Series 1 42mm Smartwatch (Gold Aluminum Case, Midnight Blue Sport Band) #ITRTG #Affiliate https://t.co/mlWl4…",1003577673031905281,en,3.0,Marco Ferrer
Mon Jun 04 10:02:09 +0000 2018,1528106529.0,"RT @Creatio_Dez: Ready for it? 😃

#WWDC18 #apple #iwatch #iphone #macbook #macbookair #ios #iPhoneX #iPhoneSE2 https://t.co/MUjtryYnsj",1003577640903589888,en,5.0,chan
Mon Jun 04 10:02:02 +0000 2018,1528106522.0,How to Watch #Apple's #WWDC2018 Keynote https://t.co/skg22q5D3X #TechNews #AppleNews https://t.co/p6fMerJ2eh,1003577611518464000,en,3.0,Tech Simplified
Mon Jun 04 10:01:47 +0000 2018,1528106507.0,So depressed that my @SamsungMobileSA #S9was outperformed by an #Apple iPhone...  My slowmo video is dark and unrecognizable. What am I doing wrong??? https://t.co/ciPsvFzvGE,1003577546045378560,en,1.0,Markus Pienaar
Mon Jun 04 10:01:45 +0000 2018,1528106505.0,RT @PaulasDonuts: 2 FREE DONUTS w purchase of a Dozen DONUTS today!! #maplebacon #chocolate #peanutbutter #peanut #strawberry #raspberry #k…,1003577538638163968,en,5.0,716 Talking Proud!
Mon Jun 04 10:01:32 +0000 2018,1528106492.0,"Fun Fact of the Day

Have you ever put an apple into the water and noticed the apple float? Yes, apples float on water. It is because apples are made of 25 percent air!

Try this fun experiment with your child and prove this fact together!

#FunFact #Apple",1003577485571735552,en,5.0,Precious Moments Christian Academy
Mon Jun 04 10:01:18 +0000 2018,1528106478.0,"RT @WeFix_UK: The WeFix vans keep on rolling out!
#Sheffield - it's your turn! Get your mobile and tablet repairs fixed at your convenience…",1003577424641183746,en,4.0,Aaron Brown
Mon Jun 04 10:01:02 +0000 2018,1528106462.0,"Wondering how to delete photos from your Mac while keeping them in iCloud? https://t.co/xBWXkuFs7r

#Apple #macOS #iCloud #Mac #iMac #MacBook  #MacMini #MacPro #iMacPro #Photos https://t.co/xYLXaZF5Yk",1003577357708472320,en,3.0,Damien Schreurs
Mon Jun 04 10:00:50 +0000 2018,1528106450.0,"Today is the day!! Join us this evening to watch #Apple #WWDC18 conference together at @GoTechMadrid! Good company, lots of news, beers... What else?  https://t.co/xNaPpn94l9 #WWDC #iOSDev #InCodeWeTrust",1003577306848296960,en,4.0,Intelygenz Software
